구분,티커,종목명,신호일,진입일,진입가,현재가/청산가,청산일,모멘텀(%),수급빈집,우선순위(%),패턴,상태,손절가,익절가,손익률(%),보유일수
보유중,091700.KS,파트론,2026-02-03,2026-02-04,7140.0,7940.0,,,,,,,5383.0,9651.0,11.2,54
보유중,316140.KS,우리금융지주,2026-01-29,2026-01-30,29660.51171875,32450.0,,,,,,,22362.0,40091.0,9.4,59
보유중,028050.KS,삼성E&A,2026-01-30,2026-02-02,30450.0,33250.0,,,,,,,22957.0,41158.0,9.2,56
보유중,079900.KS,전진건설로봇,2026-01-30,2026-02-02,49190.35990590898,53500.0,,,,,,,37086.0,66488.0,8.76,56
보유중,178920.KS,PI첨단소재,2026-02-11,2026-02-12,20550.0,22150.0,,,,,,,15493.0,27776.0,7.79,46
보유중,055550.KS,신한지주,2026-01-27,2026-01-28,84171.10297956443,90500.0,,,,,,,63458.0,113770.0,7.52,61
보유중,105560.KS,KB금융,2026-01-29,2026-01-30,136382.12022697856,145900.0,,,,,,,102821.0,184340.0,6.98,59
보유중,192820.KS,코스맥스,2026-01-14,2026-01-15,179900.0,192100.0,,,,,,,135630.0,243161.0,6.78,74
보유중,005070.KS,코스모신소재,2026-03-03,2026-03-04,49100.0,52400.0,,,,,,,37018.0,66366.0,6.72,26
보유중,028300.KS,HLB,2026-01-08,2026-01-09,50300.0,53500.0,,,,,,,37922.0,67988.0,6.36,80
보유중,330590.KS,롯데리츠,2026-03-06,2026-03-09,4420.0,4695.0,,,,,,,3332.0,5974.0,6.22,21
보유중,002020.KS,코오롱,2026-02-06,2026-02-09,62905.025920542634,66800.0,,,,,,,47425.0,85025.0,6.19,49
보유중,017940.KS,E1,2026-02-10,2026-02-11,96000.0,101700.0,,,,,,,72376.0,129758.0,5.94,47
보유중,003545.KS,대신증권우,2026-02-05,2026-02-06,22800.0,24100.0,,,,,,,17189.0,30818.0,5.7,52
보유중,215200.KS,메가스터디교육,2026-03-25,2026-03-26,46100.0,48700.0,,,,,,,34756.0,62311.0,5.64,4
보유중,006400.KS,삼성SDI,2026-01-29,2026-01-30,390500.0,412500.0,,,,,,,294406.0,527818.0,5.63,59
보유중,138930.KS,BNK금융지주,2026-02-04,2026-02-05,17316.20749622754,18250.0,,,,,,,13055.0,23405.0,5.39,53
보유중,267270.KS,HD현대건설기계,2026-01-19,2026-01-20,120331.78427245251,125900.0,,,,,,,90721.0,162646.0,4.63,69
보유중,004000.KS,롯데정밀화학,2026-02-11,2026-02-12,48200.0,49900.0,,,,,,,36339.0,65149.0,3.53,46
보유중,001060.KS,JW중외제약,2026-01-27,2026-01-28,30150.0,31100.0,,,,,,,22731.0,40752.0,3.15,61
보유중,086790.KS,하나금융지주,2026-01-27,2026-01-28,104158.4142602848,107200.0,,,,,,,78527.0,140785.0,2.92,61
보유중,003300.KS,한일홀딩스,2026-03-06,2026-03-09,16650.0,17060.0,,,,,,,12553.0,22505.0,2.46,21
보유중,093050.KS,LF,2026-02-20,2026-02-23,24100.0,24550.0,,,,,,,18169.0,32575.0,1.87,35
보유중,035250.KS,강원랜드,2026-02-05,2026-02-06,17710.0,17990.0,,,,,,,13352.0,23938.0,1.58,52
보유중,003470.KS,유안타증권,2026-01-30,2026-02-02,4570.0,4640.0,,,,,,,3445.0,6177.0,1.53,56
보유중,090430.KS,아모레퍼시픽,2026-02-05,2026-02-06,138400.0,140400.0,,,,,,,104343.0,187068.0,1.45,52
보유중,00104K.KS,CJ4우(전환),2026-01-30,2026-02-02,175000.0,176000.0,,,,,,,131936.0,236538.0,0.57,56
보유중,001740.KS,SK네트웍스,2026-02-06,2026-02-09,5200.0,5200.0,,,,,,,3920.0,7029.0,0.0,49
보유중,004690.KS,삼천리,2026-02-05,2026-02-06,143400.0,143000.0,,,,,,,108112.0,193826.0,-0.28,52
보유중,088980.KS,맥쿼리인프라,2026-02-27,2026-03-03,11390.0,11340.0,,,,,,,8587.0,15395.0,-0.44,27
보유중,005387.KS,현대차2우B,2026-01-13,2026-01-14,247390.41023284313,246000.0,,,,,,,186513.0,334384.0,-0.56,75
보유중,009900.KS,명신산업,2026-01-23,2026-01-26,9530.0,9470.0,,,,,,,7185.0,12881.0,-0.63,63
보유중,007070.KS,GS리테일,2026-02-10,2026-02-11,22315.319107289386,22100.0,,,,,,,16824.0,30162.0,-0.96,47
